Administrative area,Place Name,Accommodation address,Management Unit,Telephone,Place Opening Hours,"
Neihu,Taipei Xizhong Branch Library,"1-2F, No.66, Ln. 285, Sec. 1, Neihu Rd.",Taipei Xizhong Branch Library,02-87515497,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.083659,121.562154
Neihu,Taipei Xihu Branch Library,"No. 594, Sec. 1, Neihu Rd.",Taipei Xihu Branch Library,02-27973183,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,4,25.07894,121.577561
Neihu,Taipei Donghu Branch Library,"No. 6, Wufen St.",Taipei Donghu Branch Library,02-26323378,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,25.067415,121.61261
Wenshan,Muzha MRT station,"No.135, Sec. 4, Muzha Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,24.998202,121.573381
Wenshan,Xinhai MRT station,"No.128, Sec. 4, Xinhai Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.00512,121.557015
Wenshan,Taipei Zoo MRT station,"No.32, Sec. 2, Xinguang Rd.",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,24.998276,121.579897
Wenshan,Jingmei MRT station,"No. 393, Sec. 6, Roosevelt Rd., Wenshan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,24.99223,121.540694
Wenshan,Jingmei Sports Park,"No.79, Jingfeng St., Wenshan Dist., Taipei City","Nangang Park Management Division, Public Works Department",02-27884255,00:00~24:00,1,121.544136,25.002735
Wenshan,Jinghua Park,"Opposite No.42, Jinghua St., Wenshan Dist., Taipei City","Nangang Park Management Division, Public Works Department",02-27884255,00:00~24:00,1,24.995231,121.5431
Wenshan,Wanfang Community MRT station,"No.60, Wanfang Rd., Wenshan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,24.998599,121.568384
Wenshan,Wanfang Hospital MRT station,"No.113, Sec. 3, Xinglong Rd., Wenshan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,24.999333,121.557732
Wenshan,Wanlong MRT station,"No. 214, Sec. 5, Roosevelt Rd., Wenshan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.002793,121.538626
Wenshan,Taipei Wenshan Sports Center,"No. 222, Section 3, Xinglong Rd.",Taipei Wenshan Sports Center,02-22308268,06:00~22:00,5,24.997445,121.559465
Wenshan,Taipei Zoo,"No. 30, Sec.2, Xinguang Rd.",Taipei Zoo,02-29382300#630,09:00~17:00,2,121.5807,24.99859
Wenshan,Taipei Lixing Branch Library,"5-8F, No. 22, Yishou St.",Taipei Lixing Branch Library,02-86612196,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,5,24.979634,121.55648
Wenshan,Taipei Wenshan Branch Library,"7F, No. 160, Sec. 2, Xinglong Rd.",Taipei Wenshan Branch Library,02-29315339,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,5,24.999697,121.547614
Wenshan,Taipei Muzha Branch Library,"3F, No. 3, Lane 13, Baoyi Rd.",Taipei Muzha Branch Library,02-29397520,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,24.986603,121.56814
Wenshan,Taipei Yongjian Branch Library,"4F, No. 177, Sec. 1, Muzha Rd.",Taipei Yongjian Branch Library,02-22367448,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,24.987736,121.550974
Wenshan,Taipei Public Library Ankang Branch,"4F, No. 1, Lane 105, Sec. 4, Xinglong Rd.",Taipei Public Library Ankang Branch,02-29390180,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,24.987728,121.5608
Wenshan,Taipei Jingmei Branch Library,"No. 50, Lane 176, Sec. 5, Roosevelt Rd.",Taipei Jingmei Branch Library,02-29328457,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.003607,121.536345
Wenshan,Taipei Jingxin Branch Library,"5-10F, No. 151, Jinghou St.",Taipei Jingxin Branch Library,02-29331244,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,6,24.990137,121.542022
Wenshan,Taipei Public Library Wanfang Branch,"No. 25, Wanmei St.",Taipei Public Library Wanfang Branch,02-22305233,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,1,25.002215,121.569178
Wenshan,Taipei Wanxing Branch Library,"4F, No. 27, Wanshou Rd.",Taipei Wanxing Branch Library,02-22345501,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,4,24.988685,121.576501
Wenshan,Xinglong Park,"Ln. 220, Sec. 2, Xinglong Rd., Wenshan Dist., Taipei City","Nangang Park Management Division, Public Works Department",02-27884256,00:00~24:00,1,25.000615,121.551876
Wenshan,Maokong Gondola Taipei Zoo Station,"No.8, Sec. 2, Xinguang Rd., Wenshan Dist., Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,24.996052,121.576164
Beitou,Qixing Park,"Aly. 2, Ln. 157, Guangming Rd., Beitou Dist., Taipei City(Beside Qihu Park)","Yangmingshan Park Management Division, Public Works Department",02-28616533,00:00~24:00,1,25.13655,121.502348
Beitou,Beitou Park,"No.251, Guangming Rd., Beitou Dist., Taipei City","Yangmingshan Park Management Division, Public Works Department",02-28613368,00:00~24:00,2,25.136336,121.506229
Beitou,Beitou MRT station,"No. 1, Guangming Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.132068,121.498234
Beitou,Shipai MRT station,"No. 200, Sec. 1, Shipai Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.114852,121.515189
Beitou,Qiyan MRT station,"No. 489, Sec. 2, Sanhe St., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.1261,121.500942
Beitou,Zhongyi MRT station,"No. 301, Sec. 4, Zhongyang N. Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.131062,121.473214
Beitou,Mingde MRT station,"No. 95, Mingde Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.109317,121.519024
Beitou,Qianshan Park,"No.4, Jianguo St., Beitou Dist., Taipei City","Yangmingshan Park Management Division, Public Works Department",02-28616534,00:00~24:00,1,25.150675,121.548623
Beitou,Sengen Park,"No.155, Zhuhai Rd., Beitou Dist., Taipei City","Yangmingshan Park Management Division, Public Works Department",02-28616533,00:00~24:00,1,25.141778,121.50968
Beitou,Qilian MRT station,"No. 301, Sec. 2, Donghua St., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.120823,121.506824
Beitou,Liuhuanggu Recreation Area,"No.200, Quanyuan Rd., Beitou Dist., Taipei City","Public Utilities Division,Department of Economic Development",02-27208889,00:00~24:00,1,25.143723,121.521581
Beitou,Fuxing Park,"Opposite No.65, Zhonghe St., Beitou Dist., Taipei City","Public Utilities Division,Department of Economic Development",02-27208889,00:00~24:00,2,25.138884,121.502129
Beitou,Fuxinggang MRT station,"No. 10, Lane 53, Sec. 3, Zhongyang N. Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.13766,121.485365
Beitou,Xinbeitou MRT station,"No. 700, Daye Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.136996,121.50343
Beitou,Taipei Beitou Sports Center,"No.100, Lane 39, Section 1, Shipai Rd.",Taipei Beitou Sports Center,02-28202880,06:00~22:00,4,25.116473,121.509762
Beitou,Taipei Beitou Branch Library,"No.251, Guangming Rd., Beitou Dist., Taipei City",Taipei Beitou Branch Library,02-28912095,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.136298,121.506296
Beitou,Taipei Public Library Yongming Branch,"7-8F., No.115, Sec. 2, Shipai Rd., Beitou Dist., Taipei City ",Taipei Public Library Yongming Branch,02-28234141,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.118068,121.517176
Beitou,Taipei Shipai Branch Library,"3-10F., No.5, Ln. 208, Mingde Rd., Beitou Dist., Taipei City",Taipei Shipai Branch Library,02-28239634,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,8,25.113142,121.522624
Beitou,Taipei Jili Branch Library,"No.366, Sec. 1, Linong St., Beitou Dist., Taipei City",Taipei Jili Branch Library,02-28201633,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.119288,121.508402
Beitou,Taipei Public Library XiuShan Branch,"5-9F., No.534, Zhonghe St., Beitou Dist., Taipei City",Taipei Public Library XiuShan Branch,02-28921475,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.145541,121.493219
Beitou,Taipei Qingjiang Branch Library,"3F., No.198, Gongguan Rd., Beitou Dist., Taipei City",Taipei Qingjiang Branch Library,02-28960315,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.127728,121.50736
Beitou,Taipei Daoxiang Branch Library,"3-4F., No.81, Daoxiang Rd., Beitou Dist., Taipei City",Taipei Daoxiang Branch Library,02-28940662,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.140967,121.489548
Beitou,Guandu MRT station,"No. 51, Lane 296, Sec. 3, Dadu Rd., Beitou District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.125539,121.467283
Songshan,Sanmin Park,"No.298, Fuyuan St., Songshan Dist., Taipei City","Yuanshan Park Management Division, Public Works Department",02-25850192,00:00~24:00,1,25.062557,121.568151
Songshan,Taipei Arena MRT station,"No. 10-1, Sec. 4, Nanjing E. Rd., Songshan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.051515,121.551023
Songshan,Mingquan Park,"No.18, Aly. 12, Ln. 389, Fujin St., Songshan Dist., Taipei City","Nangang Park Management Division, Public Works Department",02-27884255,00:00~24:00,1,25.059878,121.551933
Songshan,SongShan MRT station,"No. 742, Sec. 4, Bade Rd., Songshan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.050361,121.578119
Songshan,SongShan Airport MRT station,"No. 338, Dunhua N. Rd. Songshan Dist. Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.063067,121.552116
Songshan,Nanjing Sanmin MRT station,"No. 237, Sec. 5, Nanjing E. Rd., Songshan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.051539,121.563305
Songshan,Taipei Song Shan Sports Center,"No. 1, Dunhua N Rd.",Taipei Song Shan Sports Center,02-66176789,06:00~22:00,3,25.048607,121.550231
Songshan,Taipei Sanmin Branch Library,"5-6F, No. 163-1, Sec. 5, Minsheng E. Rd.",Taipei Sanmin Branch Library,02-27600408,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.059315,121.562908
Songshan,Taipei Zhonglun Branch Library,"7-10 F, no. 229, sec. 2, Changan E. Rd.",Taipei Zhonglun Branch Library,02-87736858,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.048407,121.545756
Songshan,Taipei Minsheng Branch Library,"4F, No. 5, Lane 199, Dunhua N. Rd. ",Taipei Minsheng Branch Library,02-27138083,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.057122,121.55113
Songshan,Taipei Songshan Branch Library,"6-8F, No. 688, Sec. 4, Bade Rd. SongShan Dist.",Taipei Songshan Branch Library,02-27531875,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,4,25.049847,121.57685
Songshan,Taipei Qiming Branch Library,"No. 76, Lane 155, Dunhua N. Rd.",Taipei Qiming Branch Library,02-25148443,09:00~17:00,4,25.054339,121.551794
Xinyi,Taipei 101/World Trade Center MRT station,"B1, No. 20, Sec. 5, Xinyi Rd., Xinyi District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.033143,121.5632
Xinyi,City Government,"No.1, Shifu Rd., Xinyi Dist., Taipei City","City Hall Managmet Offie,Taipei City",02-27208889,08:00~18:00,6,25.037214,121.564472
Xinyi,Taipei City Hall MRT station,"No. 2, Sec. 5, Zhongxiao E. Rd., Xinyi District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.040958,121.565295
Xinyi,Yongchun MRT station,"No. 455, Sec. 5, Zhongxiao E. Rd., Xinyi District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.040836,121.576648
Xinyi,Xinyi Park No.414,Taipei City Xinyi Dist. intersection of  Xinan St. and Ln. 220 Wuxing St. (Before Army Maintenance Plant ),"Nangang Park Management Division, Public Works Department",02-27884255,00:00~24:00,1,25.02701,121.558836
Xinyi,Xinyi Anhe MRT station,"B1, No. 212-1, Sec. 4, Xinyi Rd., Daan District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.033316,121.553587
Xinyi,Sun Yat-Sen Memorial Hall MRT station,"No. 400, Sec. 4, Zhongxiao E. Rd., Xinyi District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.041116,121.557942
Xinyi,Xiangshan MRT station,"B1, No.152, Sec. 5, Xinyi Rd., Xinyi District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,2,25.032733,121.569546
Xinyi,Taipei Xinyi Sports Center,"No. 100, Songqin St.",Taipei Xinyi Sports Center,02-87861911,06:00~22:00,6,25.031866,121.566678
Xinyi,Taipei Sanxing Branch Library,"4-5F, No. 6, Lane 156, Wuxing St.",Taipei Sanxing Branch Library,02-87321063,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.029075,121.561188
Xinyi,Taipei Liuhe Branch Library,"3-5F, No. 19, Lane 240, Songren Rd.",Taipei Liuhe Branch Library,02-27292485,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,5,25.024541,121.568918
Xinyi,Taipei Yongchun Branch Library,"3-4F, No. 294, Songshan Rd.",Taipei Yongchun Branch Library,02-27609730,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.043069,121.577577
Xinyi,Taipei City Hospital Songde Branch,"No.309, Songde Rd., Xinyi Dist., Taipei City",Taipei City Hospital Songde Branch,02-27263141#1390,00:00~24:00,40,25.030508,121.574895
Xinyi,Taipei City Government,"No.1, Shifu Rd., Xinyi Dist., Taipei City",Taipei City Government,02-27208889,West Gate:07:00~22:00、East Gate、South Gate、North Gate:07:00~200:00、Holidays  Closedown ,102,25.037525,121.563782
Nangang,Yucheng Park,"Opposite No.105, Chengfu Rd., Nangang Dist., Taipei City","Nangang Park Management Division, Public Works Department",02-27884255,00:00~24:00,2,25.042417,121.587277
Nangang,Kunyang MRT station,"No. 451, Sec. 6, Zhongxiao E. Rd., Nangang District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.050608,121.593627
Nangang,Nangang Park,"No.170, Dongxin St., Nangang Dist., Taipei City","Nangang Park Management Division, Public Works Department",02-27884255,00:00~24:00,1,25.046018,121.591209
Nangang,Taipei Nangang Exhibition Center MRT station,"No. 32, Sec. 1, Nangang Rd. Nangang Dist. Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,3,25.055104,121.618266
Nangang,Nangang MRT station,"No. 380, Sec.7, Zhongxiao E. Rd., Nangang District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.051943,121.607446
Nangang,Nangang Software Park MRT station,"No. 183, Jingmao 2nd Rd. Nangang Dist. Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.060354,121.616028
Nangang,Houshanpi MRT station,"No. 2, Sec. 6, Zhongxiao E. Rd., Nangang District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.04528,121.582872
Nangang,Taipei Nangang Sports Center,"No,69, Yucheng St.",Taipei Nangang Sports Center,02-22536279,06:00~22:00,8,25.048938,121.58184
Nangang,Taipei Nangang Branch Library,"2-3F, No. 367, Sec. 8, Civic Blvd.",Taipei Nangang Branch Library,02-27825232,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.054003,121.607753
Nangang,Taipei Public Library Longhua Branch,"No.8, Lane. 63, Dongxin St.",Taipei Public Library Longhua Branch,02-27851740,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,2,25.046144,121.586757
Nangang,Taipei Jiuzhuang Branch Library,"2F., No.11, Ln. 91, Sec. 1, Jiuzhuang St.,",Taipei Jiuzhuang Branch Library,02-27837212,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,4,25.041307,121.619483
Nangang,Taipei City Hospital Zhongxiao Branch,"No.87, Tongde Rd., Nangang Dist., Taipei City",Taipei City Hospital Zhongxiao Branch,02-27861288#8094,00:00~24:00,32,25.046533,121.586075
Wanhua,Taipei City Hospital Chinese Medicine Clinic Center,"No.100, Kunming St., Wanhua Dist., Taipei City",Taipei City Hospital Zhongxing Branch,02-23887008,00:00~24:00,16,25.044324,121.50492
Wanhua,Nishi Honggan Temple,"Opposite No.13, Sec. 2, Changsha St., Wanhua Dist., Taipei City","Horticultural Engineering ,Public Works Department-Western Branch Team",02-23071429,00:00~24:01,1,25.040595,121.506882
Wanhua,Youth Park,"No.199, Shuiyuan Rd., Wanhua Dist., Taipei City","Youth Park Management Division, Public Works Department",02-23032451,00:00~24:00,3,25.025879,121.506281
Wanhua,Youth Park,"No.199, Shuiyuan Rd., Wanhua Dist., Taipei City","Parks and Street Lights Office, Public Works Department",02-23032451,00:00~24:00,1,25.02072,121.50487
Wanhua,Taipei Wanhua Sports Center,"No.6-1, Xining S Rd.",Taipei Wanhua Sports Center,02-23818878,06:00~22:00,5,25.047408,121.506753
Wanhua,Taipei Xiyuan Branch Library,"No. 6, Xingning St.",Taipei Xiyuan Branch Library,02-23069046,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,5,25.032193,121.501718
Wanhua,Taipei Dongyuan Branch Library,"No. 199, Dongyuan St.",Taipei Dongyuan Branch Library,02-23070460,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,4,25.022722,121.498094
Wanhua,Taipei Public Library Liuxiang Branch,"4F, No. 102, Sec. 2, Huanhe S. Rd.",Taipei Public Library Liuxiang Branch,02-23080586,09:00~17:00,1,25.036893,121.495492
Wanhua,Taipei Wanhua Branch Library,"5-7F, No. 19, Dongyuan St.",Taipei Wanhua Branch Library,02-23391056,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.027925,121.495727
Wanhua,Taipei Longshan Branch Library,"No. 6, Lane 65, Guilin Rd.",Taipei Longshan Branch Library,02-23311497,Tuesday～Saturday：08:30~21:00；Sunday and Monday：09:00~17:00。,3,25.038549,121.502339
Wanhua,Longshan Temple MRT station,"No. 153, Sec. 1, Xiyuan Rd., Wanhua District, Taipei City",Taipei Mass Rapid Transit Corporation,02-21812345,06:00~23:00,1,25.035497,121.499564
