縣市,字號,"執照類別 ",狀態,機構名稱,負責獸醫,發照日期,機構地址
雲林縣,雲診字第93號,獸醫師,開業,和牧動物醫院,周應欽,2015/07/08,雲林縣虎尾鎮光復路454號
花蓮縣,府農漁開字第38號,獸醫師,開業,高橋貓友善動物醫院,李孟達,2015/07/01,花蓮市中正路136號
台北市,北市獸業字第492號,獸醫師,開業,寶寶新動物醫院,林郁尊,2015/06/25,台北市汀州路二段125號1樓
高雄市,高市獸師開字第306號,獸醫師,開業,恩澤動物醫院,王亭越,2015/06/17,高雄市苓雅區武廟路160之2號
金門縣,(104)疫政字第2號,獸醫師,開業,金門同伴動物醫院,徐曉萍,2015/05/26,金門縣金城鎮歐厝村63號
台中市,中市獸醫開字第293號,獸醫師,開業,劍橋動物醫院北屯分院,鄭代乾,2015/05/15,臺中市北屯區文心路四段806號
桃園市,桃獸師開執字第254號,獸醫師,開業,晨曦動物醫院龍安分院,王世儁,2015/05/15,桃園市桃園區龍安街109號
嘉義市,嘉市獸開字第91號,獸醫師,開業,珍愛動物醫院,蕭協其,2015/05/13,嘉義市東區吳鳳南路311號
桃園市,桃獸師開執字第253號,獸醫師,開業,呈品動物醫院,曾麗蓉,2015/05/04,桃園市中壢區中豐路359號
台中市,中市獸醫開字第292號,獸醫師,開業,全國動物醫院市政分院,杜政運,2015/04/30,臺中市西屯區何安里文心路三段46號
桃園市,桃獸師開執字第252號,獸醫師,開業,元氣動物醫院藝文分院,沈建璋,2015/04/27,桃園市桃園區莊敬路一段156號
新北市,新北獸醫業字第348號,獸醫師,開業,南勢角動物醫院,謝易軒,2015/04/21,新北市中和區捷運路20號1樓
南投縣,投府農畜師開字第32號,獸醫師,開業,龍貓動物醫院,邱魏豪鵬,2015/04/18,南投縣草屯鎮中興路271號
台北市,北市獸業字第490號,獸醫師,開業,天母太僕動物醫院,胡譽嚴,2015/04/17,臺北市士林區天母西路48號1樓
台北市,北市獸業字第491號,獸醫師,開業,南京太僕動物醫院,曾鴻章,2015/04/17,臺北市南京東路5段286號
台北市,北市獸業字第489號,獸醫師,開業,遠見動物眼科醫院,郭廣慈,2015/04/08,臺北市大安區和平東路2段68號1樓
台北市,北市獸業字第488號,獸醫師,開業,樂沛動物醫院,蔡金龍,2015/04/02,台北市內湖區成功路4段368號1樓2樓
高雄市,高市獸師開字第305號,獸醫師,開業,一嘉動物醫院,莊嘉泰,2015/03/31,高雄市苓雅區興中一路383號
南投縣,投府農畜師開字第31號,獸醫師,開業,永佳家畜診所,林佳蓉,2015/03/28,南投縣埔里鎮東華路91-1號
台中市,中市獸醫開字第291號,獸醫師,開業,全國動物醫院大里分院,林源盛,2015/03/25,臺中市大里區國光路二段441號
高雄市,高市獸師開字第304號,獸醫師,開業,卡布動物醫院,林時民,2015/03/19,高雄市三民區大昌一路289號
台南市,南市獸開字第152號,獸醫師,開業,大愛動物醫院,江明德,2015/03/11,臺南市北區和緯路二段516號
台北市,北市獸業字第487號,獸醫師,開業,劍橋動物醫院石牌芸林分院,彭寶瑩,2015/03/10,臺北市北投區石牌路2段332-1號1樓
台中市,中市獸醫開字第290號,獸醫師,開業,陽光動物醫院,邱馨萱,2015/03/09,臺中市西區中華路一段3-5號1-3樓
新北市,新北獸醫業字第347號,獸醫師,開業,聖地牙哥動物醫院,李錚,2015/03/06,新北市永和區永和路2段285號
台北市,北市獸業字第486號,獸醫師,開業,康新動物醫院,賴欣妤,2015/03/03,臺北市大安區文昌街89號1樓
屏東縣,屏獸開字第113號,獸醫師,開業,國太動物醫院,林子昇,2015/02/26,屏東縣潮州鎮永昌路47巷3號
台東縣,東府獸師開字第19號,獸醫師,開業,佳誼動物診所,蘇耿誼,2015/02/24,臺東縣臺東市正氣北路141巷11號
高雄市,高市獸師開字第302號,獸醫師,開業,品安動物醫院,高祥益,2015/02/09,高雄市三民區大昌二路448號
高雄市,高市獸師開字第301號,獸醫師,開業,永安動物醫院,劉晉汏,2015/02/05,高雄市鳳山區建國路3段16號
台中市,中市獸醫開字第289號,獸醫師,開業,威爾斯寵物村動物醫院,祝偉鈞,2015/02/04,臺中市北區中清路一段581號
台中市,中市獸醫開字第288號,獸醫師,開業,布萊梅動物醫院,陳韻安,2015/02/04,臺中市大甲區育英路174-1號
新北市,新北獸醫業字第346號,獸醫師,開業,欣欣動物醫院,甘騰凱,2015/02/03,新北市蘆洲區中山一路160號
台中市,中市獸醫開字第287號,獸醫師,開業,狗脾氣動物醫院,成玥禛,2015/01/30,臺中市清水區五權東路11號
新北市,新北獸醫業字第345號,獸醫師,開業,鷺江動物醫院,陳育仁,2015/01/29,新北市蘆洲區中正路209號
台中市,中市獸醫開字第286號,獸醫師,開業,懷恩動物醫院,劉文亮,2015/01/22,臺中市大雅區中清路四段303號
屏東縣,屏獸開字第112號,獸醫師,開業,國立屏東科技大學附設動物醫院,鍾承澍,2015/01/21,屏東縣內埔鄉老埤村學府路1號
高雄市,高市獸師開字第300號,獸醫師,開業,榆琁動物醫院,莊國偉,2015/01/15,高雄市林園區和平路66巷6號
台中市,中市獸醫開字第285號,獸醫師,開業,劍橋動物醫院,陳斾儒,2015/01/15,臺中市南屯區大進街526號(含1-2樓)
屏東縣,屏獸開字第111號,獸醫師,開業,萬新動物醫院,鄭文新,2015/01/09,屏東縣萬丹鄉萬新路1426號
嘉義市,嘉市獸開字第90號,獸醫師,開業,永全動物醫院,邱慶松,2015/01/07,嘉義市垂楊路619號
雲林縣,雲診字第91號,獸醫師,開業,雙盈動物醫院,莊金玉,2014/12/26,雲林縣虎尾鎮興南里113號
雲林縣,雲診字第92號,獸醫師,開業,肥肥壯壯獸醫院,陳哲欽,2014/12/26,雲林縣二崙鄉大同路21之2號
屏東縣,屏獸開字第110號,獸醫師,開業,瑞光動物醫院,王順瑜,2014/12/19,屏東縣長治鄉瑞光路一段745號
苗栗縣,苗縣獸師開字第103040號,獸醫師,開業,全民動物醫院,莊詔勛,2014/12/19,竹南鎮博愛街120號
台北市,北市獸業字第485號,獸醫師,開業,亞太動物醫院,葉力森,2014/12/17,臺北市文山區景福街244號1樓及地下1樓
屏東縣,屏獸開字第109號,獸醫師,開業,大同動物醫院自由分院,劉振漢,2014/12/16,屏東市自由路629號
台中市,中市獸醫開字第284號,獸醫師,開業,尼昂貓專科醫院,李佳芳,2014/12/09,臺中市南區復興路二段133號及地下室一樓
高雄市,高市獸師開字第299號,獸醫師,開業,昌明動物醫院,曾智美,2014/12/08,高雄市楠梓區楠梓東街38號1樓
台北市,北市獸業字第484號,獸醫師,開業,角落動物醫院,黃俊運,2014/12/02,臺北市內湖區金湖路22號1樓
南投縣,投府農畜師開字第30號,獸醫師,開業,雅富動物醫院,邱榮貴,2014/12/01,南投縣埔里鎮忠孝路266號
新北市,新北獸醫業字第344號,獸醫師,開業,慈恩動物醫院,梁雨峰,2014/11/21,新北市永和區永利路94巷3號
桃園市,桃獸師開執字第251號,獸醫師,開業,麻吉動物醫院,郭建宏,2014/11/17,桃園市中山北路4號
宜蘭縣,府農畜字第1030176880號,獸醫師,開業,湖光動物醫院,謝佩奇,2014/11/04,宜蘭縣冬山鄉冬山路1段753、755號
台北市,北市獸業字第483號,獸醫師,開業,志誠動物醫院,林傳基,2014/11/03,臺北市萬華區萬大路536號1樓
台中市,中市獸醫開字第283號,獸醫師,開業,奕良動物醫院,劉奕良,2014/10/28,臺中市后里區甲后路396號
台北市,北市獸業字第482號,獸醫師,開業,澤禾動物醫院,陳柏瑋,2014/10/23,臺北市松山區健康路256號1樓
新竹縣,竹縣字第29號,獸醫師,開業,品澤動物醫院,蔣安怡,2014/10/20,新竹縣竹北市中華路875號
屏東縣,屏獸開字第108號,獸醫師,開業,捲毛動物醫院,郭嘉琳,2014/10/17,屏東縣高樹鄉廣福村興農路72巷53號
彰化縣,彰府農防師開字第134號,獸醫師,開業,佑明動物醫院,洪明偉,2014/10/13,彰化縣北斗鎮復興路40號
新北市,新北獸醫業字第343號,獸醫師,開業,全國動物醫院永和分院,王國芬,2014/10/06,新北市永和區永貞路175號
桃園市,桃獸師開執字第250號,獸醫師,開業,琪欣動物醫院,張琪峯,2014/09/30,桃園市龜山區文化三路99號
新北市,新北獸醫業字第342號,獸醫師,開業,猩猩狐狸動物醫院,吳尚諭,2014/09/05,新北市汐止區仁愛路319號
新北市,新北獸醫業字第341號,獸醫師,開業,仁喆動物醫院,李信喆,2014/08/28,新北市林口區仁愛路二段172號
桃園市,桃獸師開執字第249號,獸醫師,開業,彩虹動物醫院,郭文龍,2014/08/25,"桃園市大興西路一段221號1 樓"
台北市,北市獸業字第480號,獸醫師,開業,尼古拉動物醫院,李國閔,2014/08/21,臺北市士林區克強路23號1樓
苗栗縣,苗縣獸師開字第103039號,獸醫師,開業,小花動物醫院,王崇印,2014/08/11,苗栗縣頭份鎮中央路358號
高雄市,高市獸師開字第298號,獸醫師,開業,瑞祥動物醫院,洪文杰,2014/08/11,高雄市前鎮區福祥街49號
桃園市,桃獸師開執字第248號,獸醫師,開業,國際動物醫院,林祐瑋,2014/08/07,桃園市國際路二段51號
桃園市,桃獸師開執字第247號,獸醫師,開業,人人動物醫院八德分院,溫仁光,2014/07/31,桃園市八德區介壽路一段693號
台北市,北市獸業字第479號,獸醫師,開業,國立臺灣大學生物資源暨農學院附設動物醫院,季昭華,2014/07/31,臺北市大安區基隆路3段153號
高雄市,高市獸師開字第297號,獸醫師,開業,樂樂動物醫院,汪鴻展,2014/07/30,高雄市鳳山區過勇路198號
新北市,新北獸醫業字第339號,獸醫師,開業,沐愛動物醫院,林家佑,2014/07/29,新北市板橋區國光路166號
台中市,中市獸醫開字第282號,獸醫師,開業,龍恩動物醫院,陳翊龍,2014/07/22,臺中市南屯區田心里大墩六街287號1樓
台北市,北市獸業字第478號,獸醫師,開業,慈愛動物醫院寧夏分院,胡甸浩,2014/07/21,臺北市大同區寧夏路1號1、3樓
台中市,中市獸醫開字第281號,獸醫師,開業,貞愛動物醫院,蘇淑貞,2014/07/18,臺中市豐原區豐原大道四段457號
新北市,新北獸醫業字第338號,獸醫師,開業,臺大健弘動物醫院,賴建宏,2014/07/14,新北市林口區民族路6號
台南市,南市獸開字第149號,獸醫師,開業,永佳動物醫院,宮欽泰,2014/07/09,臺南市安南區海佃路2段440號
台南市,南市獸開字第148號,獸醫師,開業,毛寶貝動物診所,郭秋琴,2014/07/08,臺南市永康區中山南路475號
桃園市,桃獸師開執字第246號,獸醫師,開業,圓霖動物醫院南崁分院,李紹微,2014/07/04,蘆竹市南崁中正路362號
台中市,中市獸醫開字第280號,獸醫師,開業,興旺動物醫院,黃久珍,2014/07/04,臺中市西區向上路一段21號
桃園市,桃獸師開執字第245號,獸醫師,開業,萌萌家動物醫院,黃彥融,2014/06/27,桃園市桃園區三民路2段254號
台北市,北市獸業字第475號,獸醫師,開業,文藝動物醫院,紀炳欽,2014/06/26,臺北市中山區民生東路1段87號地下1樓
台中市,中市獸醫開字第279號,獸醫師,開業,承美動物醫院,林家興,2014/06/24,臺中市北屯區文心路四段943號1樓
台南市,南市獸開字第147號,獸醫師,開業,友愛動物醫院,許永安,2014/06/24,臺南市中西區友愛街277號
新北市,新北獸醫業字第337號,獸醫師,開業,杏運草動物醫院,黃玲頤,2014/06/20,新北市中和區景平路489號1樓
高雄市,高市獸師開字第296號,獸醫師,開業,博新動物醫院,黃士彥,2014/06/17,高雄市鳳山區瑞順街147號1樓
嘉義縣,嘉府獸師開字第74號,獸醫師,開業,維醫動物醫院,蔡滎陽,2014/06/16,嘉義縣民雄鄉建國路二段148-6號
彰化縣,彰府農防師開字第133號,獸醫師,開業,全興動物醫院,許森富,2014/06/06,彰化市中正路2段256號
新北市,新北獸醫業字第336號,獸醫師,開業,藍世界鶯歌動物醫院,鄭湘穎,2014/06/05,新北市鶯歌區鶯桃路496號
台南市,南市獸開字第146號,獸醫師,開業,愛犬家動物醫院,陳昱良,2014/05/27,臺南市安南區怡安路1段84號
台北市,北市獸業字第474號,獸醫師,開業,紀劃犬貓專科醫院,周國雄,2014/05/23,臺北市中山區民生東路1段83號
高雄市,高市獸師開字第295號,獸醫師,開業,烏鐸動物醫院,張桂銘,2014/05/22,高雄市苓雅區中正一路139、141號
台南市,南市獸開字第145號,獸醫師,開業,惠祥動物醫院,李晃銘,2014/05/16,臺南市新營區新進路314-1號
新北市,新北獸醫業字第335號,獸醫師,開業,狄強生生技動物醫院,劉定捷,2014/05/14,新北市樹林區樹德街136巷16號1樓
宜蘭縣,府農畜字第1030071411號,獸醫師,開業,腳印動物醫院,卓玟伶,2014/05/08,宜蘭縣羅東鎮純精路一段25號
台北市,北市獸業字第472號,獸醫師,開業,景興動物醫院,朱育龍,2014/05/07,臺北市文山區景華街92號1樓
高雄市,高市獸師開字第294號,獸醫師,開業,純德動物醫院,李翰,2014/05/07,高雄市小港區宏平路372號
台南市,南市獸開字第144號,獸醫師,開業,我的動物醫院,林辰軒,2014/05/01,臺南市中西區和緯路5段235號
新竹市,竹市府產農字第980078672號,獸醫師,開業,渤海動物診所,吳政運,2014/05/01,新竹市東南街112號1樓
台中市,中市獸醫開字第278號,獸醫師,開業,長春動物醫院,黃柏儒,2014/04/24,台中市南屯區文心南二路447號
新北市,新北獸醫業字第334號,獸醫師,開業,胖皮動物醫院,李裕銘,2014/04/24,新北市蘆洲區復興路174號1樓
新竹縣,竹縣字第28號,獸醫師,開業,樂寶動物醫院,范嘉麟,2014/04/23,新竹縣竹北市自強北路50號
高雄市,高市獸師開字第293號,獸醫師,開業,左營動物醫院,郭獻文,2014/04/16,高雄市左營區左營大路437號
屏東縣,屏獸開字第106號,獸醫師,開業,安禾水產動物醫院,池陽廣,2014/04/08,屏東縣佳冬鄉六根村佳和路132-4號
新竹市,竹市府產農字第980078670號,獸醫師,開業,全美經國動物醫院,蕭迪元,2014/03/27,新竹市經國路3段6號
花蓮縣,府農漁開字第36號,獸醫師,開業,綠樁動物醫院,陳音竹,2014/03/20,花蓮縣花蓮市明禮路71-10號
新北市,新北獸醫業字第333號,獸醫師,開業,太僕動物醫院,魏辰熹,2014/03/20,新北市林口區文化一路一段102號
彰化縣,彰府農防師開字第132號,獸醫師,開業,酷牛動物醫院,蔡哲宇,2014/02/28,彰化縣溪湖鎮員鹿路3段198號
台中市,中市獸醫開字第277號,獸醫師,開業,艾利動物醫院,鄭美玉,2014/02/19,台中市西屯區惠中路二段41號
雲林縣,雲診字第90號,獸醫師,開業,宏興家畜診所,吳育懋,2014/02/14,雲林縣北港鎮民生路137號
台中市,中市獸醫開字第276號,獸醫師,開業,歐陽動物醫院,歐陽銘文,2014/01/29,台中市南屯區公益路二段632號
台北市,北市獸業字第470號,獸醫師,開業,臺北市流浪貓保護協會附設貓醫院,鄭秀信,2014/01/23,臺北市信義區信義路6段81號1樓
台南市,南市獸開字第141號,獸醫師,開業,齊川動物醫院,方偉仲,2014/01/23,臺南市東區崇善路486號
新北市,新北獸醫業字第331號,獸醫師,開業,藍世界動物醫院林口分院,詹翎芳,2014/01/21,新北市林口區中山路62號
高雄市,高市獸師開字第292號,獸醫師,開業,有村動物醫院,王純方,2014/01/15,高雄市鼓山區篤敬路1號
桃園市,桃獸師開執字第244號,獸醫師,開業,"陳獸醫院 中山北院",陳聖傑,2014/01/15,桃園市中山北路189號
彰化縣,彰府農防師開字第131號,獸醫師,開業,犬谷動物醫院,謝麗惠,2014/01/10,彰化縣溪湖鎮大突里地政路31號1樓
台南市,南市獸開字第140號,獸醫師,開業,安南動物診所,蕭鵬飛,2014/01/03,臺南市北區林森路3段112號
桃園市,桃獸師開執字第243號,獸醫師,開業,惟心動物醫院,賴震洋,2013/12/31,桃園市大興路207號1、2樓
新竹市,竹市府產農字第980078667號,獸醫師,開業,台大慈仁動物醫院,譚至仁,2013/12/24,新竹市北區武陵路2-1號
花蓮縣,府農漁開字第35號,獸醫師,開業,佳恩動物診所,楊國政,2013/12/20,花蓮縣光復鄉中興路568號
桃園市,桃獸師開執字第242號,獸醫師,開業,吉利動物醫院,葉宗錦,2013/12/16,桃園市楊梅區永美路502號1樓
台北市,北市獸業字第469號,獸醫師,開業,長宏動物醫院,吳家慶,2013/12/10,臺北市中山區吉林路173號1樓
新北市,新北獸醫業字第329號,獸醫師,開業,明滙動物醫院,葉宸濂,2013/12/02,新北市新店區安祥路104-7號GF
台北市,北市獸業字第467號,獸醫師,開業,阿牛犬貓急診醫院,邱張祺,2013/12/02,臺北市士林區文林路311號1樓
台北市,北市獸業字第468號,獸醫師,開業,景文動物醫院,張元炫,2013/11/29,臺北市文山區景文街29號1樓
南投縣,投府農畜師開字第29號,獸醫師,開業,華邦動物醫院,陳鏡正,2013/11/29,南投縣南投市信義街5巷42-1號
桃園市,桃獸師開執字第241號,獸醫師,開業,向陽動物醫院,孫培芳,2013/11/28,桃園市桃園區三民路三段579號
台北市,北市獸業字第466號,獸醫師,開業,汎亞動物醫院,張詠舜,2013/11/26,臺北市士林區承德路4段183號1樓
屏東縣,屏獸開字第105號,獸醫師,開業,屏安獸醫院,方美惠,2013/11/22,屏東市中山路61-12號
高雄市,高市獸師開字第291號,獸醫師,開業,幸安動物醫院,張純仁,2013/11/15,高雄市楠梓區楠梓路132號
新北市,新北獸醫業字第328號,獸醫師,開業,向陽動物醫院,黎俊伶,2013/11/15,新北市永和區民權路7號1樓
台中市,中市獸醫開字第274號,獸醫師,開業,碩恩動物醫院,韓碩恩,2013/11/13,台中市南區樹德里德祥街72號
台南市,南市獸開字第139號,獸醫師,開業,光微動物醫院,施柏丞,2013/11/08,臺南市新營區健康路32號
台北市,北市獸業字第465號,獸醫師,開業,全國動物醫院台北分院,李效唐,2013/11/06,臺北市內湖區舊宗路1段30巷13號1樓
台北市,北市獸業字第464號,獸醫師,開業,古德動物醫院,詹昇諭,2013/11/06,臺北市萬華區西園路2段194號
嘉義縣,嘉府獸師開字第73號,獸醫師,開業,民雄家畜醫院,吳信科,2013/11/05,嘉義縣民雄鄉中和村魚寮仔6鄰29號
屏東縣,屏獸開字第104號,獸醫師,開業,順昇動物醫院,黃英郁,2013/11/05,屏東縣新園鄉田洋村仙隆路363號
台中市,中市獸醫開字第272號,獸醫師,開業,貝比動物醫院,陳如渟,2013/10/16,台中市西屯區櫻花路128號
高雄市,高市獸師開字第290號,獸醫師,開業,佳園動物醫院,陳穗平,2013/10/15,高雄市彌陀區中正路14號
新北市,新北獸醫業字第327號,獸醫師,開業,伊凡動物醫院,楊維榮,2013/10/15,新北市中和區復興路300號1樓
屏東縣,屏獸開字第103號,獸醫師,開業,榮生動物醫院,王榮生,2013/10/14,屏東縣佳冬鄉萬建村忠信街426巷13號
高雄市,高市獸師開字第289號,獸醫師,開業,弘苑獸醫院,梅念祖,2013/10/07,高雄市岡山區介壽西路129號
雲林縣,雲診字第86號,獸醫師,開業,西螺程動物醫院,程文宏,2013/09/27,雲林縣西螺鎮漢光里平和南路378.380號
台中市,中市獸醫開字第270號,獸醫師,開業,南陽獸醫院,曾啟芳,2013/09/10,臺中市豐原區圓環東路299號壹樓
台中市,中市獸醫開字第271號,獸醫師,開業,佳群動物醫院,陳光輝,2013/09/10,台中市西屯區福雅路51號(含地下室)
高雄市,高市獸師開字第288號,獸醫師,開業,方濟動物醫院,葉毓凱,2013/09/09,高雄市苓雅區復興二路13-3號
台北市,北市獸業字第461號,獸醫師,開業,佳康動物醫院,文皓群,2013/09/09,臺北市內湖區康寧路3段169-1號1樓
台北市,北市獸業字第462號,獸醫師,開業,沐樂動物醫院,師維孝,2013/09/09,臺北市信義區忠孝東路4段559巷30號1樓
桃園市,桃獸師開執字第239號,獸醫師,開業,麗園動物醫院大園分院,吳翰忠,2013/08/27,桃園市大園區中正東路5號
台南市,南市獸開字第137號,獸醫師,開業,盼望動物醫院,李宗輝,2013/08/22,臺南市麻豆區中山路116號
南投縣,投府農畜師開字第28號,獸醫師,開業,大愛動物醫院,廖璿程,2013/08/19,南投縣草屯鎮博愛路407號
彰化縣,彰府農防師開字第130號,獸醫師,開業,運擎獸醫診所,傅愨風,2013/08/13,彰化縣埤頭鄉平原村華泰一街18號
台南市,南市獸開字第136號,獸醫師,開業,聖安動物醫院,王政賢,2013/08/08,臺南市柳營區柳營路1段518號
新竹市,竹市府產農字第980078665號,獸醫師,開業,淇寶寶動物醫院,黃婉琳,2013/08/02,新竹市光復路1段362-12號
新北市,新北獸醫業字第326號,獸醫師,開業,馨田動物醫院,李昱璇,2013/08/01,新北市土城區金城路二段388號
新北市,新北獸醫業字第325號,獸醫師,開業,藍世界泰山動物醫院,廖順晶,2013/07/29,新北市泰山區新北大道5段236號
台北市,北市獸業字第460號,獸醫師,開業,全國動物醫院公館分院,陳志屏,2013/07/25,臺北市中正區羅斯福路3段316巷9弄1號
台中市,中市獸醫開字第269號,獸醫師,開業,毛導動物醫院,徐晧程,2013/07/24,台中市北區健行路371號
彰化縣,彰府農防師開字第129號,獸醫師,開業,喬喬動物醫院,黃士維,2013/07/23,彰化縣和美鎮仁美路165號
桃園市,桃獸師開執字第238號,獸醫師,開業,美生動物醫院,謝佩文,2013/06/28,平鎮市環南路460之3號
桃園市,桃獸師開執字第237號,獸醫師,開業,台大安麗動物診所,趙明仁,2013/06/24,桃園市中山路956巷152弄9號
新北市,新北獸醫業字第324號,獸醫師,開業,昇昇動物醫院,林杏如,2013/06/20,新北市樹林區大雅路370號
桃園市,桃獸師開執字第236號,獸醫師,開業,樂米動物醫院,李文傑,2013/06/13,桃園市中正路637號
彰化縣,彰府農防師開字第128號,獸醫師,開業,盛安動物診所,蘇和梗,2013/06/11,彰化縣北斗鎮中山路1段260巷36弄16號
彰化縣,彰府農防師開字第127號,獸醫師,開業,佑旺動物醫院,陳格倫,2013/06/11,彰化縣員林鎮靜修東路53號
新北市,新北獸醫業字第252號,獸醫師,開業,青青動物醫院,呂彥青,2013/06/05,新北市三重區重新路三段31-3號1樓
台北市,北市獸業字第458號,獸醫師,開業,景美動物醫院,張聰錦,2013/05/15,臺北市文山區羅斯福路6段6號
台中市,中市獸醫開字第268號,獸醫師,開業,佑全動物醫院,王植觀,2013/05/03,台中市大雅區雅潭路4段668號
台北市,北市獸業字第457號,獸醫師,開業,伊甸動物醫院,高茂仁,2013/05/01,臺北市中山區北安路554巷33號1樓
台中市,中市獸醫開字第267號,獸醫師,開業,光佑動物醫院,蔡淑婷,2013/04/30,台中市太平區中興東路164號
台中市,中市獸醫開字第266號,獸醫師,開業,中山動物醫院,黃銘峰,2013/04/24,臺中市沙鹿區台灣大道七段1000號
台北市,北市獸業字第456號,獸醫師,開業,締爾動物醫院,尤思菁,2013/04/19,臺北市文山區木新路3段321號1樓
新北市,新北獸醫業字第323號,獸醫師,開業,全民連鎖動物醫院板橋院,葉宗明,2013/04/18,新北市板橋區文化路二段255號
台中市,中市獸醫開字第265號,獸醫師,開業,喵屋貓咪專科醫院,周春婷,2013/04/17,臺中市南屯區大墩17街125號
台南市,南市獸開字第135號,獸醫師,開業,力晨動物醫院,郭力瑋,2013/04/12,臺南市東區東光路2段78號
嘉義縣,嘉府獸師開字第72號,獸醫師,開業,欣欣動物醫院,陳亮源,2013/04/09,嘉義縣中埔鄉金蘭村2鄰4號
台北市,北市獸業字第455號,獸醫師,開業,杜瑪動物醫院,鍾昇樺,2013/04/01,臺北市北投區大業路541號1樓
金門縣,(102)疫政字第1號,獸醫師,開業,育宸動物醫院,許丕林,2013/04/01,金門縣金城鎮民族路219號
屏東縣,屏獸開字第99號,獸醫師,開業,泰豊動物醫院,黃俊智,2013/03/18,屏東市信義路141-1號
